station_name,line,city,gu,dong,gu_dong
신내,경춘선,서울특별시,중랑구,망우동,중랑구_망우동
양원,중앙선,서울특별시,중랑구,망우동,중랑구_망우동
면목,7호선,서울특별시,중랑구,면목동,중랑구_면목동
사가정,7호선,서울특별시,중랑구,면목동,중랑구_면목동
용마산,7호선,서울특별시,중랑구,면목동,중랑구_면목동
먹골,7호선,서울특별시,중랑구,묵동,중랑구_묵동
상봉(시외버스터미널),7호선,서울특별시,중랑구,상봉동,중랑구_상봉동
망우,중앙선,서울특별시,중랑구,상봉동,중랑구_상봉동
상봉(시외버스터미널),중앙선,서울특별시,중랑구,상봉동,중랑구_상봉동
봉화산(서울의료원),6호선,서울특별시,중랑구,신내동,중랑구_신내동
신내,6호선,서울특별시,중랑구,신내동,중랑구_신내동
중화,7호선,서울특별시,중랑구,중화동,중랑구_중화동
중랑,중앙선,서울특별시,중랑구,중화동,중랑구_중화동
